"id","plaats_in_bron","plaats","start","eind","aantal","geonames","kloekeCode"
817,"Boskoop","Boskoop",1699,1793,66,"http://sws.geonames.org/2758547","E206p"
830,"Aarnem","Arnhem",1680,1773,65,"http://sws.geonames.org/2759661","L023p"
833,"Schermerhorn","Schermerhorn",1682,1790,65,"http://sws.geonames.org/2747617","E051p"
835,"Rijnsburg","Rijnsburg",1698,1789,65,"http://sws.geonames.org/2748104","E135p"
836,"Waverveen","Waverveen",1648,1793,65,"http://sws.geonames.org/2744947","E151a"
837,"Hilversom","Hilversum",1695,1794,64,"http://sws.geonames.org/2754064","E161p"
841,"Oestgeest","Oegstgeest",1687,1787,64,"http://sws.geonames.org/2749723","E136p"
844,"Dortregt","Dordrecht",1703,1792,64,"http://sws.geonames.org/2756669","K094p"
846,"Blocksiel","Blokzijl",1638,1740,64,"http://sws.geonames.org/2758777","F065p"
849,"Aelsmeer","Aalsmeer",1646,1779,63,"http://sws.geonames.org/2760134","E117p"
852,"Zierikzee","Zierikzee",1637,1792,63,"http://sws.geonames.org/2743913","I049p"
856,"Venhuijsen","Venhuizen",1681,1791,62,"http://sws.geonames.org/2745645","E040a"
858,"Nimwege","Nijmegen",1684,1790,62,"http://sws.geonames.org/2750053","L071p"
860,"Appeldoorn","Apeldoorn",1635,1793,62,"http://sws.geonames.org/2759706","F151p"
868,"Asperen","Asperen",1647,1792,61,"http://sws.geonames.org/2759643","K076p"
871,"Amelant","Ameland",1680,1793,61,"http://sws.geonames.org/2759846",""
878,"Lekkerkerk","Lekkerkerk",1709,1791,60,"http://sws.geonames.org/2751744","K054p"
880,"Enschede","Enschede",1648,1787,60,"http://sws.geonames.org/2756071","G234p"
881,"Durgerdam","Durgerdam",1684,1793,60,"http://sws.geonames.org/2756485","E108a"
882,"Grouw","Grou",1707,1792,60,"http://sws.geonames.org/2755052","B094p"
883,"Hagen","'s-Gravenhage",1682,1790,60,"http://sws.geonames.org/2747373","D005p"
884,"Roermonde","Roermond",1705,1785,60,"http://sws.geonames.org/2748000","L329p"
886,"Jisp","Jisp",1635,1790,60,"http://sws.geonames.org/2753240","E070p"
887,"Waalwijk","Waalwijk",1700,1792,60,"http://sws.geonames.org/2745123","K141p"
889,"Born","Born",1681,1793,59,"http://sws.geonames.org/2758602","L428p"
890,"Papendregt","Papendrecht",1683,1788,59,"http://sws.geonames.org/2748729","K094a"
894,"Oldenbroek","Oldebroek",1643,1789,59,"http://sws.geonames.org/2749668","F102p"
900,"Zutfen","Zutphen",1706,1757,59,"http://sws.geonames.org/2743608","F179p"
903,"Voorburgh","Voorburg",1672,1787,58,"http://sws.geonames.org/2745321",""
906,"Delf","Delft",1648,1759,58,"http://sws.geonames.org/2757345","E198p"
910,"Harderwijck","Harderwijk",1637,1746,58,"http://sws.geonames.org/2754848","F108p"
915,"Waddingsveen","Waddinxveen",1700,1787,57,"http://sws.geonames.org/2745096","E207p"
917,"Maasluijs","Maassluis",1695,1793,57,"http://sws.geonames.org/2751285","I007p"
919,"Vlielant","Vlieland",1681,1783,57,"http://sws.geonames.org/2745419",""
922,"Medenblicq","Medemblik",1646,1791,57,"http://sws.geonames.org/2751073","E014p"
923,"Bleijswijk","Bleiswijk",1685,1786,57,"http://sws.geonames.org/2758838","E204p"
937,"Oostburg","Oostburg",1700,1787,56,"http://sws.geonames.org/2749541","I123p"
939,"Biervliet","Biervliet",1682,1792,56,"http://sws.geonames.org/2758980","I134p"
949,"Lunen","Lunen",1681,1784,55,"http://sws.geonames.org/2751389",""
951,"Blankenberg","Blankenberg",1706,1790,55,"http://sws.geonames.org/6544780",""
953,"Delfziel","Delfzijl",1640,1794,55,"http://sws.geonames.org/2757340","C045p"
961,"Tergouw","Gouda",1683,1791,55,"http://sws.geonames.org/2755420","E209p"
964,"Nijkerk","Nijkerk",1719,1791,55,"http://sws.geonames.org/2750065","F142p"
970,"IJselsteijn","IJsselstein",1683,1793,54,"http://sws.geonames.org/2753355","E224p"
977,"Sevenhuijse","Zevenhuizen",1699,1784,54,"http://sws.geonames.org/2743930","E205p"
979,"Aardenburg","Aardenburg",1690,1791,53,"http://sws.geonames.org/2760096","I125p"
988,"Delftshaven","Delfshaven",1703,1778,53,"http://sws.geonames.org/2757347","K042p"
993,"Nijkerken","Nijkerk",1726,1793,52,"http://sws.geonames.org/2750065","F142p"
996,"Vlaardinge","Vlaardingen",1695,1792,52,"http://sws.geonames.org/2745467","K042a"
997,"Sommelsdijk","Sommelsdijk",1701,1788,52,"http://sws.geonames.org/2747016","I024p"
998,"Boscoop","Boskoop",1668,1776,52,"http://sws.geonames.org/2758547","E206p"
999,"Hassel","Hasselt",1661,1793,52,"http://sws.geonames.org/2754779","F085p"
1006,"Zevenhuijsen","Zevenhuizen",1703,1791,51,"http://sws.geonames.org/2743930","E205p"
1007,"Vlielandt","Vlieland",1635,1793,51,"http://sws.geonames.org/2745419",""
1011,"Munnikendam","Monnickendam",1681,1793,51,"http://sws.geonames.org/2750641","E091p"
1014,"Gennip","Gennep",1662,1793,51,"http://sws.geonames.org/2755584","L164p"
1015,"Balk","Balk",1696,1794,51,"http://sws.geonames.org/2759472","F034p"
1018,"Scheveningen","Scheveningen",1712,1794,51,"http://sws.geonames.org/2747599","D001p"
1022,"Groll","Groenlo",1646,1793,50,"http://sws.geonames.org/2755281","G280p"
1030,"Amerongen","Amerongen",1692,1785,49,"http://sws.geonames.org/2759828","F189p"
1032,"Zaandam","Zaandam",1721,1793,49,"http://sws.geonames.org/2744118","E086p"
1033,"Aernem","Arnhem",1647,1740,49,"http://sws.geonames.org/2759661","L023p"
1037,"Cuijlenburgh","Culemborg",1679,1787,49,"http://sws.geonames.org/2757872","K039p"
1038,"Alkmar","Alkmaar",1695,1793,49,"http://sws.geonames.org/2759899","E045p"
1052,"Hillegom","Hillegom",1635,1791,48,"http://sws.geonames.org/2754073","E114p"
1053,"Lemmer","Lemmer",1699,1792,48,"http://sws.geonames.org/2751729","F038p"
1054,"Hasersouw","Hazerswoude-Dorp",1682,1787,48,"http://sws.geonames.org/2754724","E174p"
1060,"Schoonhove","Schoonhoven",1692,1792,48,"http://sws.geonames.org/2747506","K020p"
1061,"Monikendam","Monnickendam",1700,1793,48,"http://sws.geonames.org/2750641","E091p"
